#FILE	NUM_FOUND	avrA	cdtB	csgA	csgB	csgC	csgD	csgE	csgF	csgG	entA	entB	entE	faeC	faeD	faeE	fepC	fepG	fimC	fimD	fimF	fimH	fimI	gogB	grvA	invA	invB	invC	invE	invF	invG	invH	invI	invJ	iroB	iroC	iroD	iroE	iroN	iucA	iucB	iucC	iucD	iutA	lpfA	lpfB	lpfC	lpfD	lpfE	mgtB	mgtC	mig-14	misL	ompA	orgA	orgB	orgC	pipB	pipB2	prgH	prgI	prgJ	prgK	ratB	shdA	sicA	sicP	sifA	sifB	sinH	sipA/sspA	sipB/sspB	sipC/sspC	sipD	slrP	sodCI	sopA	sopB/sigD	sopD	sopD2	sopE2	spaO	spaP	spaQ	spaR	spaS	spiC/ssaB	sptP	ssaC	ssaD	ssaE	ssaG	ssaH	ssaI	ssaJ	ssaK	ssaL	ssaM	ssaN	ssaO	ssaP	ssaQ	ssaR	ssaS	ssaT	ssaU	ssaV	sscA	sscB	sseA	sseB	sseC	sseD	sseE	sseF	sseG	sseI/srfH	sseJ	sseK1	sseK2	sseL	sspH2	steA	steB	steC
barcode10_2038528-1.tab	103	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.46	99.18	99.01	.	.	.	96.45	91.54	99.86	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	99.91	100.00	100.00	100.00	100.00	100.00	95.79	.	.	.	.	.	.	.	.	.	100.00	100.00	99.88	.	100.00	100.00	100.00	100.00	99.55	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	.	99.80	100.00	99.80	99.89	100.00	100.00	100.00	99.92	100.00	98.69	.	100.00	99.94	99.79	99.79	100.00	99.89	100.00	100.00	100.00	100.00	100.00	99.94	100.00	99.92	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.73	100.00	100.00	100.00	100.00	100.00	100.00	99.79	100.00	100.00	99.83	100.00	100.00	100.00	100.00	100.00	.	99.92	99.90	.	100.00	97.80	100.00	100.00	100.00
barcode11_2037403-1.tab	103	100.00	99.75	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	99.18	.	91.39	96.60	89.70	96.45	91.54	99.86	100.00	100.00	100.00	99.81	.	.	100.00	99.75	99.85	100.00	99.85	99.94	99.77	100.00	99.90	.	.	.	.	.	.	.	.	.	.	96.65	98.43	97.23	97.22	98.67	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.82	.	100.00	100.00	99.80	100.00	100.00	100.00	100.00	99.84	100.00	98.65	.	99.91	99.94	99.69	100.00	99.86	100.00	100.00	100.00	100.00	100.00	100.00	99.94	99.93	99.92	100.00	100.00	100.00	100.00	99.87	100.00	100.00	100.00	100.00	100.00	100.00	99.90	100.00	100.00	100.00	100.00	100.00	99.58	100.00	100.00	99.83	99.93	100.00	100.00	100.00	100.00	.	99.92	.	.	100.00	.	100.00	.	100.00
barcode12_2038061-1.tab	100	100.00	.	100.00	100.00	100.00	100.00	99.75	100.00	100.00	97.32	99.18	.	.	.	.	96.45	91.54	99.71	99.89	99.81	100.00	100.00	99.87	99.72;99.44	100.00	99.75	99.61	99.91	100.00	100.00	100.00	99.77	99.90	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	99.93	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.67	100.00	99.69	.	100.00	100.00	99.80	100.00	100.00	100.00	100.00	100.00	99.13	98.69	99.81	99.87	99.94	99.90	.	100.00	99.89	100.00	100.00	99.87	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.92	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.79	100.00	100.00	99.83	99.93	100.00	99.76	100.00	100.00	99.69	99.92	100.00	.	99.90	.	100.00	100.00	100.00
barcode7_2037399-4.tab	101	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.46	99.18	.	.	.	.	96.45	91.54	100.00	99.96	100.00	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	99.94	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	100.00	99.92	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.91	100.00	100.00	100.00	100.00	.	99.85	99.80	100.00	99.70	99.89	99.95	100.00	99.94	99.92	100.00	100.00	.	99.91	99.94	99.90	99.90	100.00	100.00	100.00	100.00	100.00	99.91	99.75	99.94	99.93	99.92	100.00	100.00	100.00	100.00	99.87	100.00	99.90	100.00	100.00	100.00	100.00	99.90	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.08	99.49	99.86	99.32	99.76	99.87	100.00	.	99.92	100.00	.	100.00	.	99.84	100.00	100.00
barcode8_2038546-2.tab	102	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	99.18	.	.	.	.	96.45	91.44	99.86	100.00	100.00	99.90	100.00	.	.	100.00	100.00	100.00	100.00	99.85	100.00	100.00	99.77	100.00	.	.	.	.	.	.	.	.	.	.	100.00	100.00	99.96	99.91	100.00	99.96	100.00	100.00	99.93	99.90	100.00	99.85	100.00	100.00	100.00	99.75	100.00	100.00	100.00	100.00	99.77	100.00	100.00	99.80	99.89	99.54	100.00	100.00	99.92	100.00	100.00	.	99.96	99.94	99.79	100.00	99.86	100.00	100.00	100.00	100.00	100.00	99.75	99.94	99.87	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.74	100.00	99.90	100.00	100.00	100.00	100.00	100.00	100.00	99.54	100.00	99.83	99.59	98.98	99.04	100.00	100.00	.	99.92	.	99.90	100.00	99.87	100.00	.	99.85
barcode9_2038054-2.tab	114	99.89	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.46	99.07	.	.	96.56	89.70	96.45	91.54	100.00	99.89	100.00	100.00	100.00	.	.	100.00	99.75	99.92	100.00	100.00	100.00	100.00	99.77	100.00	99.74	99.97	99.84	100.00	99.91	100.00	99.68	99.89	98.73	99.91	100.00	100.00	99.88	99.63	100.00	100.00	100.00	100.00	99.65	100.00	100.00	99.85	100.00	99.89	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	99.60	99.89	100.00	100.00	100.00	99.92	100.00	100.00	.	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.87	99.91	100.00	99.94	99.93	100.00	100.00	100.00	100.00	100.00	99.87	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.83	99.93	100.00	100.00	100.00	100.00	.	100.00	99.90	.	100.00	97.08	100.00	100.00	99.85
