id	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
barcode10_2038528-1.fasta	contig00001	54281	55657	+	steC	1-1374/1374	========/======	3/3	100.00	95.79	vfdb	NP_460656	(steC) type III secretion system effector SteC [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
barcode10_2038528-1.fasta	contig00001	127291	128518	-	sseJ	1-1227/1227	========/======	1/1	100.00	98.70	vfdb	NP_460590	(sseJ) type III secretion system effector SseJ glycerophospholipid:cholesterol acyltransferase [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
barcode10_2038528-1.fasta	contig00001	129783	130184	-	steB	1-402/402	===============	0/0	100.00	96.77	vfdb	AAL20547	(steB) type III secretion system effector SteB [SPI-1 encoded T3SS (SS010)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
barcode10_2038528-1.fasta	contig00001	156666	157617	-	sifB	1-951/951	========/======	1/1	100.00	95.27	vfdb	NP_460561	(sifB) type III secretion system effector SifB [SPI-2 encoded T3SS (SS021)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
barcode10_2038528-1.fasta	contig00001	179666	180297	+	steA	1-633/633	========/======	1/1	99.84	94.63	vfdb	NP_460542	(steA) type III secretion system effector SteA [SPI-1 encoded T3SS (SS010)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
barcode10_2038528-1.fasta	contig00001	357760	358818	-	ssaU	1-1059/1059	===============	0/0	100.00	99.25	vfdb	NP_460387	(ssaU) type III secretion system export apparatus switch protein SsaU [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
barcode10_2038528-1.fasta	contig00001	358815	359595	-	ssaT	1-780/780	========/======	1/1	100.00	98.21	vfdb	NP_460386	(ssaT) type III secretion system minor export apparatus protein SsaT [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
barcode10_2038528-1.fasta	contig00001	359596	359862	-	ssaS	1-267/267	===============	0/0	100.00	99.62	vfdb	NP_460385	(ssaS) type III secretion system minor export apparatus protein SsaS [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
barcode10_2038528-1.fasta	contig00001	359859	360506	-	ssaR	1-648/648	===============	0/0	100.00	99.69	vfdb	NP_460384	(ssaR) type III secretion system minor export apparatus protein SsaR [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
barcode10_2038528-1.fasta	contig00001	360574	361542	-	ssaQ	1-969/969	===============	0/0	100.00	98.25	vfdb	NP_460383	(ssaQ) type III secretion system C ring protein SsaQ [TTSS(SPI-2 encode) (VF0321)] [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	
