id	AAC(6')-Iy	acrA	acrB	acrD	acrR mutation (MDR)	adeF	ampC1 beta-lactamase	APH(3'')-Ib	APH(6)-Id	bacA	baeR	cpxA	CRP	EF-Tu mutants (Pulvomycin)	emrA	emrB	emrR	GlpT mutation (fosfomycin)	golS	kdpE	KpnE	KpnF	marA	mdsA	mdsC	MdtK	msbA	PmrF	rsmA	sdiA	soxR mutation (antibiotic resistance)	soxS mutation (antibiotic resistance)	TEM-60	tet(D)	tetR	ugd	ampH beta-lactamase	cmlA9	KpnH	marR mutant (antibiotic resistance)	mdfA	mdsB	mdtH	YojI	AcrF	basS	OXA-209	UhpT mutation (fosfomycin)	23S rRNA mutation (erythromycin and telithromycin)	FosA7	H-NS	lmrD	PBP3 (beta-lactam antibiotics)	chrB	LptD	mdtM	AAC(6')-Iaa	mdtC
barcode10_2038528-1	99.31	91.18	96.29	95.45	87.38	60.57	72.91	99.63	99.64	97.07	95.71	96.94	99.05	99.49	90	95.62	93.14	95.75	100	92.41	76.67	87.16	95.24	99.02	98.91	99.37	96.39	87.42	85.25	99.17	96.09	95.33	100	63.14	100	88.92	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
barcode11_2037403-1	99.22	91.69	97.4	.	87.38	.	72.69	.	.	97.07	96.67	96.94	99.05	99.49	89.74	95.48	93.14	96.9	99.35	92.41	76.67	87.16	95.24	98.59	98.61	99.06	97.52	87.74	85.25	97.78	96.09	95.33	100	.	.	.	91.43	100	95.6	92.36	87.5	100	99.14	96.15	.	.	.	.	.	.	.	.	.	.	.	.	.	.
barcode12_2038061-1	97.93	91.69	95.86	.	.	60.77	.	.	.	97.07	96.97	97.26	98.57	98.8	.	.	93.14	.	100	90.62	76.67	87.16	94.44	98.51	99.27	99.31	97.28	87.74	.	98.46	96.09	95.33	100	.	.	.	91.43	.	95.6	.	.	.	96.15	.	95.63	100	100	96.07	.	.	.	.	.	.	.	.	.	.
barcode7_2037399-4	99.31	91.69	95.86	94.44	87.38	59.43	.	.	.	97.07	97.56	97.94	99.05	99.49	.	95.62	93.14	95.45	100	92.41	76.67	87.16	95.24	99.51	98.81	99.37	96.39	87.34	83.61	97.78	96.09	95.33	100	.	.	89.18	91.29	.	.	92.36	.	99.4	.	.	.	.	.	96.07	97.63	96.59	96.97	100	52.9	.	.	.	.	.
barcode8_2038546-2	97.93	90.93	96.09	.	87.38	.	.	.	.	96.7	96.11	96.72	99.05	99.49	.	96.75	93.14	96.9	100	92.41	76.67	87.16	.	97.22	99.01	99.37	96.98	88.27	.	99.58	96.05	95.33	100	.	.	.	.	.	.	92.36	87.68	100	.	.	.	100	.	95.68	.	.	.	.	.	100	100	86.03	.	.
barcode9_2038054-2	.	.	100	98	87.38	.	.	.	.	98.14	97.56	96.94	99.05	99.67	89.74	95.3	93.14	96.9	100	.	.	.	95.24	98.78	100	98.19	96.2	.	85.25	100	96.09	95.33	100	.	.	.	.	.	95.6	92.36	87.68	100	.	.	.	.	.	95.68	.	.	.	.	52.9	.	.	86.03	100	91.61
