id	avrA	cdtB	csgA	csgB	csgC	csgD	csgE	csgF	csgG	entA	entB	entE	faeC	faeD	faeE	fepC	fepG	fimC	fimD	fimF	fimH	fimI	gogB	grvA	invA	invB	invC	invE	invF	invG	invH	invI	invJ	iroB	iroC	iroD	iroE	iroN	iucA	iucB	iucC	iucD	iutA	lpfA	lpfB	lpfC	lpfD	lpfE	mgtB	mgtC	mig-14	misL	ompA	orgA	orgB	orgC	pipB	pipB2	prgH	prgI	prgJ	prgK	ratB	shdA	sicA	sicP	sifA	sifB	sinH	sipA/sspA	sipB/sspB	sipC/sspC	sipD	slrP	sodCI	sopA	sopB/sigD	sopD	sopD2	sopE2	spaO	spaP	spaQ	spaR	spaS	spiC/ssaB	sptP	ssaC	ssaD	ssaE	ssaG	ssaH	ssaI	ssaJ	ssaK	ssaL	ssaM	ssaN	ssaO	ssaP	ssaQ	ssaR	ssaS	ssaT	ssaU	ssaV	sscA	sscB	sseA	sseB	sseC	sseD	sseE	sseF	sseG	sseI/srfH	sseJ	sseK1	sseK2	sseL	sspH2	steA	steB	steC
barcode10_2038528-1	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.46	99.18	99.01	91.58	96.56	89.83	96.45	91.54	99.86	99.96	100.00	100.00	100.00	.	.	100.00	100.00	100.00	99.82	100.00	100.00	100.00	100.00	100.00	99.91	100.00	99.84	99.90	99.95	100.00	99.89	100.00	98.73	99.96	100.00	100.00	99.84	.	100.00	99.96	100.00	100.00	99.48	100.00	100.00	100.00	99.78	100.00	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	99.70	100.00	100.00	100.00	100.00	99.92	100.00	98.69	.	99.91	99.94	99.69	99.90	100.00	99.78	100.00	98.47	100.00	100.00	100.00	99.88	100.00	99.92	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.92	100.00	99.73	100.00	100.00	100.00	100.00	100.00	99.90	99.79	100.00	100.00	99.83	99.86	100.00	100.00	100.00	100.00	.	100.00	100.00	.	100.00	97.30	99.84	100.00	100.00
barcode11_2037403-1	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	99.18	.	.	.	.	96.45	91.54	99.86	100.00	100.00	100.00	100.00	.	.	100.00	99.75	99.92	100.00	99.85	99.76	99.32	99.77	99.90	.	.	.	.	.	.	.	.	.	.	100.00	100.00	99.84	100.00	99.62	99.96	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.89	100.00	99.75	100.00	100.00	99.87	99.97	99.38	100.00	100.00	99.70	99.89	99.91	99.85	100.00	99.84	100.00	98.56	.	99.91	99.82	99.79	100.00	99.86	100.00	99.85	100.00	99.87	99.72	100.00	99.88	100.00	99.92	100.00	100.00	100.00	100.00	99.87	100.00	100.00	100.00	99.92	100.00	100.00	99.90	100.00	100.00	100.00	100.00	100.00	99.79	100.00	99.69	99.83	99.93	100.00	99.76	100.00	100.00	.	100.00	.	100.00	100.00	99.92	99.84	.	99.93
barcode12_2038061-1	100.00	99.63	100.00	100.00	100.00	100.00	99.75	100.00	100.00	97.19	99.18	.	91.39	96.56	89.96	96.45	91.54	99.86	99.85	99.81	100.00	100.00	.	.	99.61	99.51	99.85	99.91	100.00	99.76	100.00	99.55	99.90	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.86	100.00	99.93	100.00	100.00	100.00	100.00	99.89	99.91	99.92	99.18	99.67	99.87	99.67	.	100.00	100.00	99.70	100.00	100.00	100.00	100.00	99.84	99.13	98.56	.	99.74	99.82	99.69	.	99.86	99.89	100.00	100.00	99.87	100.00	100.00	100.00	100.00	99.92	100.00	100.00	100.00	100.00	99.87	100.00	100.00	100.00	99.92	100.00	100.00	99.90	100.00	100.00	100.00	99.91	100.00	99.79	100.00	100.00	99.83	99.79	100.00	100.00	100.00	100.00	.	99.92	100.00	.	100.00	.	100.00	100.00	100.00
barcode7_2037399-4	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	97.46	99.18	.	.	.	.	96.45	91.54	100.00	100.00	100.00	100.00	100.00	.	.	100.00	100.00	100.00	100.00	100.00	99.94	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	100.00	99.88	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.91	99.92	100.00	100.00	100.00	.	.	100.00	100.00	99.70	99.89	100.00	99.95	99.94	99.92	100.00	99.87	.	99.96	100.00	99.90	100.00	100.00	100.00	100.00	100.00	100.00	99.81	98.76	99.88	100.00	99.75	100.00	100.00	100.00	100.00	99.87	100.00	99.90	100.00	100.00	100.00	99.73	99.79	100.00	100.00	100.00	100.00	99.95	99.37	100.00	98.47	99.66	99.79	99.83	99.76	99.87	100.00	.	99.84	100.00	.	100.00	.	100.00	100.00	99.78
barcode8_2038546-2	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	98.72	.	.	.	.	96.45	.	100.00	100.00	100.00	99.90	99.81	.	.	100.00	100.00	99.85	100.00	99.85	100.00	100.00	99.77	100.00	.	.	.	.	.	.	.	.	.	.	100.00	100.00	99.96	99.81	99.62	99.93	99.86	100.00	99.86	100.00	100.00	99.85	100.00	100.00	100.00	99.92	100.00	100.00	100.00	99.96	99.77	100.00	100.00	99.60	99.89	99.64	99.95	99.94	99.92	100.00	99.87	.	99.83	99.82	99.79	100.00	100.00	100.00	99.70	100.00	100.00	100.00	100.00	99.82	99.87	99.75	100.00	100.00	100.00	100.00	99.87	100.00	99.90	100.00	99.85	99.74	100.00	99.79	100.00	100.00	100.00	99.91	100.00	100.00	99.31	100.00	99.66	99.38	98.81	98.80	100.00	100.00	.	99.92	100.00	99.90	100.00	99.79	100.00	100.00	99.49
barcode9_2038054-2	99.89	.	100.00	100.00	100.00	100.00	99.75	100.00	100.00	97.46	99.18	98.94	.	.	.	96.45	91.54	99.86	99.92	100.00	100.00	100.00	99.93	98.02;100.00	100.00	99.75	100.00	100.00	100.00	100.00	99.77	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	99.86	99.96	99.91	100.00	99.93	100.00	100.00	100.00	100.00	100.00	99.85	100.00	100.00	100.00	99.83	100.00	100.00	100.00	99.97	100.00	100.00	100.00	99.11	99.89	100.00	99.95	99.94	99.76	100.00	99.96	100.00;99.06	99.96	100.00	100.00	99.90	100.00	100.00	99.85	100.00	99.62	99.91	100.00	99.94	99.93	100.00	100.00	100.00	100.00	100.00	99.87	100.00	100.00	100.00	100.00	99.74	100.00	100.00	100.00	100.00	100.00	99.72	100.00	99.79	100.00	100.00	99.83	99.93	100.00	100.00	100.00	100.00	99.79	99.84	99.90	100.00	100.00	99.96	100.00	100.00	99.85
